[2015:12:07-22:33:44] cmd: 1, targetTemp: 60.0, temp: 87.1, elapsed time: 0m 39s, line Time: 5s, protocol Time: 15s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1946.0
[2015:12:07-22:33:45] cmd: 1, targetTemp: 60.0, temp: 77.2, elapsed time: 0m 40s, line Time: 5s, protocol Time: 15s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1767.0
[2015:12:07-22:33:46] cmd: 1, targetTemp: 60.0, temp: 70.8, elapsed time: 0m 41s, line Time: 5s, protocol Time: 15s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1767.0
[2015:12:07-22:33:47] cmd: 1, targetTemp: 60.0, temp: 66.4, elapsed time: 0m 42s, line Time: 5s, protocol Time: 15s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1561.0
[2015:12:07-22:33:48] cmd: 1, targetTemp: 60.0, temp: 63.6, elapsed time: 0m 43s, line Time: 5s, protocol Time: 15s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1785.0
[2015:12:07-22:33:49] cmd: 1, targetTemp: 60.0, temp: 61.5, elapsed time: 0m 44s, line Time: 5s, protocol Time: 15s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1707.0
[2015:12:07-22:33:50] cmd: 1, targetTemp: 60.0, temp: 59.3, elapsed time: 0m 45s, line Time: 5s, protocol Time: 15s, device TargetArr: 0, mfc TargetArr: 0, free Running: 1, free Running Counter: 2, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1852.0
[2015:12:07-22:33:51] cmd: 1, targetTemp: 60.0, temp: 58.8, elapsed time: 0m 46s, line Time: 5s, protocol Time: 15s, device TargetArr: 0, mfc TargetArr: 0, free Running: 1, free Running Counter: 22, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1557.0
[2015:12:07-22:33:52] cmd: 1, targetTemp: 60.0, temp: 58.2, elapsed time: 0m 47s, line Time: 5s, protocol Time: 15s, device TargetArr: 0, mfc TargetArr: 0, free Running: 1, free Running Counter: 42, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1753.0
[2015:12:07-22:33:53] cmd: 1, targetTemp: 60.0, temp: 58.0, elapsed time: 0m 48s, line Time: 4s, protocol Time: 14s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 733.0
[2015:12:07-22:33:54] cmd: 1, targetTemp: 60.0, temp: 57.4, elapsed time: 0m 49s, line Time: 3s, protocol Time: 13s, device TargetArr: 1, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 560.0
[2015:12:07-22:33:55] cmd: 1, targetTemp: 60.0, temp: 62.0, elapsed time: 0m 50s, line Time: 2s, protocol Time: 12s, device TargetArr: 1, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 540.0
[2015:12:07-22:33:56] cmd: 1, targetTemp: 60.0, temp: 62.3, elapsed time: 0m 51s, line Time: 1s, protocol Time: 11s, device TargetArr: 1, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 577.0
[2015:12:07-22:33:57] cmd: 1, targetTemp: 60.0, temp: 61.5, elapsed time: 0m 52s, line Time: 0s, protocol Time: 10s, device TargetArr: 1, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 544.0
[2015:12:07-22:33:58] cmd: 1, targetTemp: 72.0, temp: 60.7, elapsed time: 0m 53s, line Time: 5s, protocol Time: 10s, device TargetArr: 1, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 617.0
[2015:12:07-22:33:59] cmd: 1, targetTemp: 72.0, temp: 68.4, elapsed time: 0m 54s, line Time: 5s, protocol Time: 10s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 995.0
[2015:12:07-22:34:00] cmd: 1, targetTemp: 72.0, temp: 77.0, elapsed time: 0m 55s, line Time: 4s, protocol Time: 9s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:34:01] cmd: 1, targetTemp: 72.0, temp: 75.2, elapsed time: 0m 56s, line Time: 3s, protocol Time: 8s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1.0
[2015:12:07-22:34:02] cmd: 1, targetTemp: 72.0, temp: 72.9, elapsed time: 0m 57s, line Time: 2s, protocol Time: 7s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:34:03] cmd: 1, targetTemp: 72.0, temp: 71.8, elapsed time: 0m 58s, line Time: 1s, protocol Time: 6s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 3486.0
[2015:12:07-22:34:04] cmd: 1, targetTemp: 72.0, temp: 72.1, elapsed time: 0m 59s, line Time: 0s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 3736.0
[2015:12:07-22:34:05] cmd: 1, targetTemp: 95.0, temp: 72.2, elapsed time: 1m 0s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:34:06] cmd: 1, targetTemp: 95.0, temp: 80.4, elapsed time: 1m 1s, line Time: 5s, protocol Time: 5s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:34:07] cmd: 1, targetTemp: 95.0, temp: 97.6, elapsed time: 1m 2s, line Time: 4s, protocol Time: 4s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:34:08] cmd: 1, targetTemp: 95.0, temp: 98.4, elapsed time: 1m 3s, line Time: 3s, protocol Time: 3s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:34:09] cmd: 1, targetTemp: 95.0, temp: 94.6, elapsed time: 1m 4s, line Time: 2s, protocol Time: 2s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:34:10] cmd: 1, targetTemp: 95.0, temp: 95.8, elapsed time: 1m 5s, line Time: 1s, protocol Time: 1s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:34:11] cmd: 1, targetTemp: 95.0, temp: 94.6, elapsed time: 1m 6s, line Time: 0s, protocol Time: 0s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:34:12] cmd: 1, targetTemp: 95.0, temp: 95.6, elapsed time: 1m 7s, line Time: 0s, protocol Time: 0s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
